"location_id","admin_level","name","code","parent_location_id","population_density","lat","long","admin_0_location_id","admin_0_admin_level","admin_0_name","admin_0_code","admin_0_parent_location_id","admin_0_population_density","admin_0_lat","admin_0_long","admin_1_location_id","admin_1_admin_level","admin_1_name","admin_1_code","admin_1_parent_location_id","admin_1_population_density","admin_1_lat","admin_1_long","admin_2_location_id","admin_2_admin_level","admin_2_name","admin_2_code","admin_2_parent_location_id","admin_2_population_density","admin_2_lat","admin_2_long","admin_3_location_id","admin_3_admin_level","admin_3_name","admin_3_code","admin_3_parent_location_id","admin_3_population_density","admin_3_lat","admin_3_long"
"EGY10133","2","'Abdin","EGY","EGY11",,30.04571717,31.24510269,"5ec80112-6157-47d0-8ac6-7e2181d62a9a","0","Egypt",,,0,,,"EGY11","1","Al Qahirah","EGY","5ec80112-6157-47d0-8ac6-7e2181d62a9a",,29.59265383,30.94550621,"EGY10133","2","'Abdin","EGY","EGY11",,30.04571717,31.24510269,,,,,,,,
"EGY11134","2","'Ain Schams","EGY","EGY11",,30.12401125,31.33557949,"5ec80112-6157-47d0-8ac6-7e2181d62a9a","0","Egypt",,,0,,,"EGY11","1","Al Qahirah","EGY","5ec80112-6157-47d0-8ac6-7e2181d62a9a",,29.59265383,30.94550621,"EGY11134","2","'Ain Schams","EGY","EGY11",,30.12401125,31.33557949,,,,,,,,
"EGY14195","2","'Ataqah","EGY","EGY15",,29.51409756,32.17851219,"5ec80112-6157-47d0-8ac6-7e2181d62a9a","0","Egypt",,,0,,,"EGY15","1","As Suways","EGY","5ec80112-6157-47d0-8ac6-7e2181d62a9a",,29.67584301,32.24520413,"EGY14195","2","'Ataqah","EGY","EGY15",,29.51409756,32.17851219,,,,,,,,
"EGY15201","2","10 Ramadan 1","EGY","EGY16",,30.21955647,31.72953141,"5ec80112-6157-47d0-8ac6-7e2181d62a9a","0","Egypt",,,0,,,"EGY16","1","Ash Sharqiyah","EGY","5ec80112-6157-47d0-8ac6-7e2181d62a9a",,30.66268444,31.75094125,"EGY15201","2","10 Ramadan 1","EGY","EGY16",,30.21955647,31.72953141,,,,,,,,
"EGY16202","2","10 Ramadan 2","EGY","EGY16",,30.24141656,31.6996999,"5ec80112-6157-47d0-8ac6-7e2181d62a9a","0","Egypt",,,0,,,"EGY16","1","Ash Sharqiyah","EGY","5ec80112-6157-47d0-8ac6-7e2181d62a9a",,30.66268444,31.75094125,"EGY16202","2","10 Ramadan 2","EGY","EGY16",,30.24141656,31.6996999,,,,,,,,
"EGY11135","2","15 Mayu","EGY","EGY11",,29.85801901,31.37155072,"5ec80112-6157-47d0-8ac6-7e2181d62a9a","0","Egypt",,,0,,,"EGY11","1","Al Qahirah","EGY","5ec80112-6157-47d0-8ac6-7e2181d62a9a",,29.59265383,30.94550621,"EGY11135","2","15 Mayu","EGY","EGY11",,29.85801901,31.37155072,,,,,,,,
"UG001044000000000000","1","ACHOLI","UGA","d121c124-b98a-4b12-86d1-9eda68061249",,3.052561054,32.61556526,"d121c124-b98a-4b12-86d1-9eda68061249","0","<U+10E1><U+10D0><U+10E5><U+10D0><U+10E0><U+10D7><U+10D5><U+10D4><U+10DA><U+10DD>",,,0,,,"UG001044000000000000","1","ACHOLI","UGA","d121c124-b98a-4b12-86d1-9eda68061249",,3.052561054,32.61556526,,,,,,,,,,,,,,,,
"RS001023001000000000","2","ADA","SRB","RS001023000000000000",,45.79223051,20.02398597,"82083e59-c8c8-4f25-bcfe-f8b024e0357a","0","Serbia",,,0,,,"RS001023000000000000","1","SEVERNOBANATSKI UPRAVNI OKRUG","SRB","82083e59-c8c8-4f25-bcfe-f8b024e0357a",,45.90850425,20.19727296,"RS001023001000000000","2","ADA","SRB","RS001023000000000000",,45.79223051,20.02398597,,,,,,,,
"RS001020001000000000","2","ALEKSANDROVAC","SRB","RS001020000000000000",,43.47212809,20.99885204,"82083e59-c8c8-4f25-bcfe-f8b024e0357a","0","Serbia",,,0,,,"RS001020000000000000","1","RASINSKI UPRAVNI OKRUG","SRB","82083e59-c8c8-4f25-bcfe-f8b024e0357a",,43.51522044,21.16572015,"RS001020001000000000","2","ALEKSANDROVAC","SRB","RS001020000000000000",,43.47212809,20.99885204,,,,,,,,
"RS001013001000000000","2","ALEKSINAC","SRB","RS001013000000000000",,43.51818518,21.69415925,"82083e59-c8c8-4f25-bcfe-f8b024e0357a","0","Serbia",,,0,,,"RS001013000000000000","1","NIŠAVSKI UPRAVNI OKRUG","SRB","82083e59-c8c8-4f25-bcfe-f8b024e0357a",,43.41601759,21.86705042,"RS001013001000000000","2","ALEKSINAC","SRB","RS001013000000000000",,43.51818518,21.69415925,,,,,,,,
